player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Michael Walters,202655,HB,COLUMBIA,5,70,10,3,15.4,46,0,299,0,1,10,206,42.0,5,18,145,2,40,67.0,64.1,80.6,,3.3,67.5,66.0,55.9,16,0,33,7,56,83,0,0,8,77,1,299,206,2.94,4.3,0.59,29
Jason Albritton,156207,HB,E TENN ST,9,70,14,5,42.9,147,0,343,2,1,14,289,86.0,5,22,157,0,35,84.7,69.6,82.2,,41.2,36.2,76.0,60.0,60,0,14,2,77,79,0,0,4,72,6,343,289,4.13,4.9,0.18,32
Brian Thomas,177812,HB,NEWHVN,9,70,16,4,30.9,89,0,288,1,2,16,150,44.9,7,13,1013,0,26,86.3,63.2,28.0,,51.2,65.0,63.8,60.4,42,1,115,16,123,88,0,0,23,86,0,288,150,2.14,4.1,0.93,42
Khamani Robinson,206421,HB,BETH COOK,8,70,8,9,52.2,233,0,446,0,2,8,186,36.4,15,22,119,0,34,86.1,70.4,81.1,,54.8,57.9,71.7,55.3,75,0,26,3,51,97,0,0,3,73,4,446,186,2.66,6.4,0.51,33
Craig Cunningham,159655,HB,MOREHEAD,8,70,14,5,42.8,128,0,299,0,2,14,203,61.1,8,18,234,0,23,84.8,74.4,10.5,,51.6,78.1,73.2,67.0,31,1,68,6,47,85,0,0,6,76,3,299,203,2.9,4.3,1.45,46
Kaiden Bennett,147778,QB,DELWARE ST,8,70,20,8,38.4,216,0,319,0,0,13,218,109.0,23,31,152,4,3,50.2,63.8,37.1,53.3,,57.0,75.5,60.1,44,6,0,0,3,263,243,19,0,51,10,562,341,4.87,8.0,0.0,34
Jerry Kaminski,177155,QB,N DAKOTA,9,69,8,5,25.6,113,0,278,0,0,3,103,13.1,13,27,249,1,21,72.8,82.7,87.2,78.1,81.4,57.0,72.9,60.3,40,0,2,1,2,282,163,21,1,49,5,441,145,2.1,6.4,1.0,25
Chandler Chapman,203187,HB,S ILLINOIS,9,69,15,6,38.6,165,0,428,1,2,15,263,83.1,12,20,295,0,26,84.5,76.5,83.3,,68.7,56.3,81.3,65.3,44,0,41,9,96,101,0,0,13,78,6,428,263,3.81,6.2,0.43,42
Justin Montgomery,193413,HB,PRESBYTERN,8,69,21,8,53.9,287,0,532,0,2,21,325,152.6,12,20,271,0,42,84.8,89.7,80.0,,65.8,59.2,89.2,59.1,71,0,19,2,43,80,0,0,2,71,6,532,325,4.71,7.7,0.44,26
Calvin Smith Jr.,203186,HB,SE LA,9,69,28,7,39.9,140,0,351,0,0,28,258,149.6,11,23,294,0,26,84.7,84.7,81.2,,47.8,57.0,86.5,45.7,25,0,11,1,37,98,0,0,1,70,5,351,258,3.74,5.1,0.3,43
Q'Daryius Jennings,151215,HB,TENN TECH,9,68,22,10,48.0,224,0,467,0,1,22,292,131.7,18,22,309,1,25,66.0,76.8,81.9,,36.9,60.1,79.5,64.4,45,0,30,7,76,78,0,0,9,75,9,467,292,4.29,6.9,0.39,42
Carter Vargas,185121,HB,UC DAVIS,9,68,21,5,38.6,172,0,446,1,4,21,257,121.1,8,24,322,2,35,55.1,84.6,81.4,,66.3,76.6,85.3,41.5,50,1,177,10,72,90,0,0,12,78,5,446,257,3.78,6.6,2.46,33
Raphael Ekechi,191187,HB,ST FRANCIS,6,68,11,2,11.7,31,0,266,1,3,11,199,50.6,9,15,299,0,33,84.5,75.1,84.2,,38.4,59.8,79.7,54.6,16,0,53,13,92,89,0,0,16,81,2,266,199,2.93,3.9,0.58,32
Darryle Evans,121677,HB,HOUCHR,6,68,5,3,32.9,114,0,346,0,3,5,154,24.8,5,15,183,0,28,84.5,67.5,84.0,,68.9,69.1,65.9,60.0,73,0,40,5,46,70,0,0,6,73,3,346,154,2.26,5.1,0.87,40
Brady Hensley,185613,HB,E KENTUCKY,8,67,6,8,62.7,267,0,426,0,0,6,202,23.2,9,17,159,0,5,84.5,76.7,81.2,,79.8,71.6,75.0,64.5,72,0,71,11,67,94,0,0,12,78,4,426,202,3.01,6.4,1.06,61
Shane Lee,191945,HB,NICHOLLS,7,67,10,4,41.3,154,0,373,0,0,10,295,58.7,10,15,243,1,17,66.6,77.0,82.8,,82.4,81.9,73.6,52.7,75,0,66,8,52,92,0,0,9,75,2,373,295,4.4,5.6,1.27,49
Nate Hampton,147548,QB,GARD-WEBB,7,67,10,1,7.7,26,0,138,0,0,3,97,18.2,11,16,171,4,28,37.0,77.3,84.7,80.7,,,60.1,60.2,26,0,0,0,0,184,201,27,0,40,4,339,199,2.97,5.1,,8
Patrick Bowen,159446,HB,STTHOM,8,67,12,4,38.7,126,0,326,0,1,12,159,43.5,7,14,1129,0,51,84.7,60.7,21.8,,64.8,59.9,61.5,55.8,49,1,45,4,81,106,0,0,4,71,4,326,159,2.37,4.9,0.56,14
Jimmyll Williams,179890,HB,ELON,9,67,23,11,45.3,247,0,545,2,7,23,412,239.6,22,29,162,0,30,84.2,86.8,83.6,,64.4,59.5,92.6,50.9,45,0,130,10,90,115,0,0,15,77,3,545,412,6.15,8.1,1.44,35
Cam'Ron Ransom,147110,QB,BETH COOK,9,66,15,6,30.7,121,0,261,0,0,10,139,55.6,13,22,119,3,31,52.6,77.3,71.1,72.5,,,71.5,60.0,28,1,0,0,0,228,133,16,0,50,6,394,196,2.97,6.0,,6
Jaedon Henry,143016,HB,SE LA,9,66,9,0,0.0,0,0,256,1,4,9,158,40.4,8,21,294,2,28,50.0,64.8,82.0,,66.7,71.9,62.6,56.6,14,0,158,11,64,96,0,0,12,77,4,256,158,2.39,3.9,2.47,33
