player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Malachi Nelson,174203,QB,UTEP,6,65.9,176,189,8.9,2.52,2,9,4.5,54.0,102,0,59,12.1,211,14,48,330,64.5,55.8,56.6,50.3,0,9,222,1,16.9,66.8,4.7,10,10,1,10,8,13,5.9,1154,6.1
Behren Morton,144747,QB,TEXAS TECH,7,78.7,174,185,8.3,2.6,2,10,5.2,67.6,125,0,50,8.8,200,12,68,315,65.0,80.2,80.0,61.3,1,4,208,1,14.0,115.8,3.5,7,8,0,8,15,7,3.4,1749,9.5
Mason Heintschel,199088,QB,PITTSBURGH,6,70.7,174,184,9.0,3.11,2,8,3.9,63.6,117,0,72,4.9,226,6,81,268,46.4,60.8,63.3,51.8,0,5,245,1,20.8,100.3,6.6,15,26,0,8,12,11,4.5,1538,8.4
Robby Ashford,131702,QB,WAKE,7,67.1,173,184,7.4,2.86,4,7,3.5,58.2,107,0,57,7.8,217,9,58,339,43.7,64.4,64.5,61.7,1,5,233,4,12.3,74.0,3.2,7,24,0,6,3,9,3.9,1298,7.1
Hunter Watson,183993,QB,SM HOUSTON,7,70.5,166,182,7.8,2.79,2,4,2.1,57.1,104,0,77,11.1,232,13,60,281,49.2,62.7,63.5,58.9,4,4,244,5,26.0,74.9,8.6,20,28,0,10,5,6,2.5,1099,6.0
Tommy Castellanos,158433,QB,FLORIDA ST,8,70.4,169,182,13.0,3.18,2,16,8.4,61.5,112,0,80,5.9,224,7,81,167,63.3,87.6,90.6,63.6,3,5,235,2,10.0,103.2,3.6,8,34,0,8,10,4,1.7,1878,10.3
Kaidon Salter,132046,QB,COLORADO,8,74.7,162,181,8.6,3.24,3,7,3.7,62.4,113,0,85,6.6,230,8,74,143,70.7,65.9,55.9,74.3,1,6,240,3,16.5,87.3,6.1,14,34,1,14,10,10,4.2,1242,6.9
Zevi Eckhaus,148535,QB,WASH STATE,7,73.9,165,180,10.6,2.8,6,11,5.6,63.3,114,0,90,6.6,212,8,64,341,47.6,76.9,67.9,79.0,0,8,230,1,17.8,81.7,7.5,16,15,0,9,9,7,3.0,1238,6.9
Dequan Finn,97804,QB,MIAMI OH,8,69.1,162,180,12.0,3.23,4,10,5.2,58.3,105,0,73,6.3,212,7,71,221,73.7,75.8,74.8,66.7,2,6,228,4,13.7,87.1,4.7,10,21,0,12,9,8,3.5,1451,8.1
Ethan Vasko,163817,QB,LIBERTY,7,68.1,166,180,10.6,2.91,3,12,6.3,60.0,108,0,71,4.4,206,5,72,206,60.6,78.0,74.6,70.1,1,5,217,2,15.5,87.9,5.3,11,14,0,10,8,6,2.8,1406,7.8
Aidan Armenta,175731,QB,LA MONROE,8,63.9,166,177,12.4,2.89,2,11,5.8,55.4,98,0,56,7.5,206,8,54,209,57.0,60.1,59.0,61.2,1,7,222,5,26.8,73.9,7.3,15,9,0,8,9,12,5.4,1072,6.1
Kiael Kelly,145634,QB,BALL ST,8,69.2,159,169,8.3,3.11,4,1,0.6,57.4,97,0,94,11.8,234,13,62,117,36.4,67.7,58.5,70.4,1,5,249,3,30.9,74.5,12.4,29,35,0,5,6,8,3.2,1016,6.0
Zane Flores,174288,QB,OKLA STATE,6,68.8,154,169,8.0,2.71,2,5,2.8,58.6,99,0,65,6.6,193,7,49,262,64.9,59.2,55.4,64.3,1,3,201,0,16.9,70.4,5.7,11,13,1,11,2,8,4.0,929,5.5
Jayden Denegal,158533,QB,S DIEGO ST,8,75.5,155,166,10.4,2.95,8,9,5.0,63.3,105,0,54,10.3,186,12,63,284,71.0,73.3,71.6,63.2,1,5,200,0,16.7,93.9,4.8,9,11,0,2,8,9,4.5,1416,8.5
