captured_at,game_id,home_team,away_team,commence_time,bookmaker,market,point_home,point_away,price_home,price_away,price_draw,last_update,source
2025-11-07T22:10:17Z,401760409,Utah State,Nevada,2025-11-09 00:30:00+00:00,Fanatics,moneyline,,,-350.0,275.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401752895,UCLA,Nebraska,2025-11-09 02:00:00+00:00,Fanatics,spread,,,-110.0,-110.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401752895,UCLA,Nebraska,2025-11-09 02:00:00+00:00,Fanatics,total,,,,,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401752895,UCLA,Nebraska,2025-11-09 02:00:00+00:00,Fanatics,moneyline,,,-105.0,-115.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401760407,Colorado State,UNLV,2025-11-09 02:30:00+00:00,Fanatics,spread,,,-110.0,-110.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401760407,Colorado State,UNLV,2025-11-09 02:30:00+00:00,Fanatics,total,,,,,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401760407,Colorado State,UNLV,2025-11-09 02:30:00+00:00,Fanatics,moneyline,,,155.0,-190.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401752944,Oregon State,Sam Houston,2025-11-09 03:00:00+00:00,Fanatics,spread,,,-110.0,-110.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401752944,Oregon State,Sam Houston,2025-11-09 03:00:00+00:00,Fanatics,total,,,,,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401752944,Oregon State,Sam Houston,2025-11-09 03:00:00+00:00,Fanatics,moneyline,,,-1300.0,800.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401760408,Hawai'i,San Diego State,2025-11-09 04:00:00+00:00,Fanatics,spread,,,-105.0,-115.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401760408,Hawai'i,San Diego State,2025-11-09 04:00:00+00:00,Fanatics,total,,,,,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401760408,Hawai'i,San Diego State,2025-11-09 04:00:00+00:00,Fanatics,moneyline,,,210.0,-260.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
