team,plays_mean,pass_rate,plays_var,pass_rate_var,pass_attempts_mean,rush_attempts_mean,sack_rate,throwaway_rate,scramble_rate,pass_k,rush_k,win_prob_q4,favored
TEXAS A&M,67.5,0.42132829499206964,70.85714285714286,0.0125535151646062,28.25,38.5,,,,32.90979381443299,32.782780410742504,0.315382431783635,False
TEXAS STATE,75.75,0.3871130247606034,325.64285714285717,0.0069008177789875,30.125,43.75,0.0789473684210526,0.0,0.0,6.36534005511022,630.5147058823532,0.5260513333033016,True
TEXAS TECH,71.77777777777777,0.4769539756061986,56.194444444444436,0.0027372367421253,34.111111111111114,36.666666666666664,0.057142857142857106,0.0,0.0,inf,1008.3333333333316,0.2406620313655778,False
TOLEDO,68.375,0.462780890060964,38.839285714285715,0.0108494930707792,31.625,36.0,,,,49.829070284697515,62.136986301369866,0.1393187919616623,False
TULANE,65.5,0.4777617321794623,44.285714285714285,0.0072377286248075,31.0,33.625,0.027027027027027,0.0,0.0,inf,47.534440690690694,0.7582868898996044,True
TULSA,77.25,0.4895629229042098,176.5,0.0031751949272253,37.5,38.0,,,,inf,25.396984924623116,0.6754095294859714,True
UAB,63.25,0.5574038495406866,44.5,0.0152259059188395,35.375,25.75,0.12195121951219512,0.0,0.0,24.727549400141143,14.53856695379796,0.4877452344791048,False
UCF,,,,,,,,,,inf,inf,0.3668102678277345,False
UCLA,,,,,,,,,,inf,inf,0.6692079513383531,True
UCONN,66.55555555555556,0.5338544237206172,22.52777777777778,0.0029030365139816,35.666666666666664,29.88888888888889,0.0909090909090909,0.0,0.0,inf,inf,0.8128603906258574,True
UNLV,63.875,0.4605312848964191,98.98214285714286,0.0106636696757804,29.75,32.125,0.0408163265306122,0.0,0.0,14.63777318369758,157.04585597826093,0.348219199034562,False
USC,,,,,,,,,,inf,inf,0.0817057658582062,False
UTAH STATE,63.5,0.4790181152582303,83.71428571428571,0.0050865302552901,30.25,29.875,,,,inf,21.86389982502187,0.176888225832956,False
UTEP,64.5,0.5390785185173063,159.42857142857142,0.0063312455248552,34.875,27.625,0.0909090909090909,0.0,0.0,22.360760013131976,26.91176007556675,0.6028446387711492,True
UTSA,62.125,0.48910562400976443,71.55357142857143,0.0026652607501539,30.625,30.625,0.0,0.0,0.0,57.84347466960352,inf,0.8205076859233046,True
VANDERBILT,59.11111111111111,0.4773659043233647,65.1111111111111,0.013864753894496498,28.222222222222218,29.555555555555554,0.11363636363636359,0.0,0.0,24.71877394636015,17.05374789105809,0.3365000452381839,False
VIRGINIA,73.0,0.46602741962834,90.5,0.0027206520749668,33.888888888888886,37.77777777777778,0.054054054054054,0.0,0.0,inf,59.05491698595147,0.2694801727849841,False
WAKE FOREST,,,,,,,,,,inf,inf,0.730519827215016,True
WASHINGTON,63.25,0.451247016398234,112.21428571428572,0.0079514801714871,28.375,33.0,,,,54.58580508474576,20.22015915119363,0.1689870831145057,False
WEST VIRGINIA,69.66666666666667,0.3751881421734425,61.750000000000014,0.0128436738392837,26.11111111111111,41.55555555555556,0.0,0.0,0.0,17.48179803735359,30.310634378893777,0.5265279677221305,True
WISCONSIN,58.375,0.4187655301156642,126.26785714285715,0.0040582945509863,24.75,31.375,,,,23.272388059701495,inf,0.8310129168854942,True
