season,week,target_spread,target_provider,provider_count,provider_list,spread_mean,spread_std,spread_min,spread_max,spread_rating_diff,power_diff,offense_diff,defense_diff,special_diff
2024,7,11.5,ESPN Bet,1,ESPN Bet,11.5,0.0,11.5,11.5,-7.774102509710991,2.84200920312555,1.833620864374668,-1.0928009720130998,-0.4220631663110891
2024,7,9.5,ESPN Bet,1,ESPN Bet,9.5,0.0,9.5,9.5,-0.5700928538866439,2.4156594551283104,1.2201775792894298,-1.1622821315825835,0.16599872128148355
2024,8,2.5,ESPN Bet,1,ESPN Bet,2.5,0.0,2.5,2.5,10.730283363813236,-0.48768986151998633,0.3441857735151973,0.9065955689716654,0.37359966968240876
2024,8,-3.5,ESPN Bet,1,ESPN Bet,-3.5,0.0,-3.5,-3.5,-5.703443705459293,1.0090535418228899,0.19501358995484042,-0.8724649862846517,-0.2921251720830108
2024,8,2.5,ESPN Bet,1,ESPN Bet,2.5,0.0,2.5,2.5,-1.6784947934419359,-1.1996886774012328,0.37529516699332266,1.6214698357066764,0.23242995656060478
2024,8,7.0,ESPN Bet,1,ESPN Bet,7.0,0.0,7.0,7.0,9.088530926704909,-1.8968907991672186,-1.3003279796023641,0.7033223582728909,0.5337976935401851
2024,8,30.0,ESPN Bet,1,ESPN Bet,30.0,0.0,30.0,30.0,3.549125067713682,0.4926484115379629,0.32919487386969526,-0.49754082062196214,-1.670436414768472
2024,8,6.5,ESPN Bet,1,ESPN Bet,6.5,0.0,6.5,6.5,6.592499095438386,6.5532537524936885,3.0153775629458934,-3.571252405325652,-0.1668810788892815
2024,8,7.5,ESPN Bet,1,ESPN Bet,7.5,0.0,7.5,7.5,0.7718018053763931,3.037248048139566,1.3632928504103432,-1.7507978191639497,-0.38421310717363355
2024,8,6.0,ESPN Bet,1,ESPN Bet,6.0,0.0,6.0,6.0,-7.818925310114194,1.8070452210285355,0.05371526829440541,-1.7297833731667303,0.11773289783699961
2024,8,17.0,ESPN Bet,1,ESPN Bet,17.0,0.0,17.0,17.0,-11.305879354278337,2.1682033344946503,1.0074053171580142,-1.061846916752315,0.4947555029216059
2024,8,17.5,ESPN Bet,1,ESPN Bet,17.5,0.0,17.5,17.5,-2.5407420733682784,-0.20545175579163127,-0.6249136194608264,-0.5738643792405964,-0.7720125778570069
2024,8,5.5,ESPN Bet,1,ESPN Bet,5.5,0.0,5.5,5.5,0.515926653785403,-2.704670854771334,-0.6246113908365006,2.0553753675340563,-0.12342048200388589
2024,8,-1.5,ESPN Bet,1,ESPN Bet,-1.5,0.0,-1.5,-1.5,7.824858603475717,-1.4174509905701673,0.7367953581075178,2.373517011088705,1.0963533120550992
2024,8,-11.5,ESPN Bet,1,ESPN Bet,-11.5,0.0,-11.5,-11.5,-8.878523721989538,1.9056631251053362,1.186039828205712,-0.7131509862550265,0.03236155322298598
2024,8,5.0,ESPN Bet,1,ESPN Bet,5.0,0.0,5.0,5.0,-0.8828438636357232,-3.3610403738841295,-1.0913625723174734,2.495949864739781,1.1313603158656238
2024,8,18.5,ESPN Bet,1,ESPN Bet,18.5,0.0,18.5,18.5,5.111092917404887,-2.143917282314692,-0.3452854133480633,1.7102027366596446,-0.4421456615349209
