season,week,home,away,actual_home,actual_away,home_offense,away_offense,home_defense,away_defense,home_special,away_special,home_flag
2023,4,BUTLER,MAINE,7.0,41.0,0.28277155959235856,0.017062177929087496,-0.23466064433337774,1.223308526032398,0.699152647408355,-0.3791475197108194,1.0
2023,4,W ILLINOIS,PORTLAND,23.0,17.0,-0.40124010814251504,-0.8275116839199643,-1.2402389282111312,-2.563882642479473,-0.5109433943155389,-0.900223034171643,1.0
2023,4,SACR HEART,NEW HAMP,31.0,34.0,-0.1841539871107572,-0.41815025988902305,-0.630058982748841,-0.3611668558053374,-0.4439875207026893,0.8011566363147081,1.0
2023,4,W GEORGIA,TEXAS STHN,20.0,13.0,-0.22144571530458076,-1.1775465298567604,0.31088327247564623,0.3445744069126442,0.30956242127487626,0.6154930559108662,1.0
2023,4,WEBER ST,INDIANA ST,28.0,14.0,-0.4993835722759319,-0.9180329824885721,-0.794282723501795,-2.254710437840436,-0.17353371508090912,0.3190221237879174,1.0
2023,4,PRINCETON,CENT ARK,63.0,14.0,0.24933094139211232,0.05202783057582748,-0.6174800375998929,-0.3610923551968519,0.14925344732480952,-0.5481113728324037,1.0
2023,4,N ALABAMA,ROB MORRIS,24.0,10.0,-0.6457444724818812,-0.5791453915823764,-1.1189681178606548,-0.3776104292456364,-0.1921962410771992,-0.14553214366546113,1.0
2023,4,GEORGETOWN,N COLORADO,42.0,6.0,-0.355321910423644,0.4127253456443712,0.7614202541131692,0.3500812533645393,-0.2703510578361493,0.34357998266107953,1.0
2023,4,STNY BROOK,RICHMOND,19.0,20.0,0.10388124227043377,-0.12966284635149558,0.8538182692920716,1.6892386693406463,-0.05450509434024716,0.6492398037555351,1.0
2023,4,BUCKNELL,PENN,21.0,37.0,0.42979464569446424,0.6400640650405364,-1.892378868086863,-0.06454274794411838,0.6338785517263008,0.36423587553569137,1.0
2023,4,UTAHTC,COLGATE,14.0,7.0,-0.5708269955340043,0.5143821775656952,-0.3877209017202471,-0.9609138032143459,0.07801751111460423,-0.08606441152432422,1.0
2023,4,PORTLAND,CAL POLY,59.0,21.0,-0.8275116839199643,-0.3011425776104652,-2.563882642479473,-0.3421306533832606,-0.900223034171643,-0.5427481361681282,1.0
2023,4,TENN STATE,UTAHTC,45.0,14.0,-1.4442904903627436,-0.5708269955340043,-0.03971098180967482,-0.3877209017202471,0.6528000148453635,0.07801751111460423,1.0
2023,4,ILL STATE,ILL STATE,34.0,27.0,0.8922281869555811,0.8922281869555811,-0.36962383709767366,-0.36962383709767366,0.04466637227059255,0.04466637227059255,1.0
2023,4,ST FRANCIS,PRINCETON,42.0,29.0,-1.710802906477063,0.24933094139211232,-1.4433984970154314,-0.6174800375998929,-0.7744459882650628,0.14925344732480952,1.0
2023,4,CORNELL,ALAB A&M,35.0,21.0,-0.3070007124130536,0.05183514697655393,0.48113814300184216,-1.3640723628740963,-0.46247476032879853,0.48554252754427785,1.0
2023,4,TENN STATE,E TENN ST,35.0,28.0,-1.4442904903627436,-0.2688673470106958,-0.03971098180967482,-0.6190284856668062,0.6528000148453635,0.04305997646930834,1.0
2023,4,IDAHO,SACRAMENTO,36.0,27.0,-0.012586772367224485,0.5747250973155371,0.22671534332959986,0.49748694257218073,0.18618864383885633,0.3041833418829607,1.0
2023,4,N ARIZONA,MONTANA,28.0,14.0,0.38744138608521855,1.4518158292921124,-1.26912459954778,0.3160076585660428,-0.07806032088312281,1.1621966987826424,1.0
2023,4,WAGNER,MERRIMACK,30.0,27.0,-1.5157893165222225,-0.93191433187388,-0.5709335107307797,1.0550025222424386,-1.0665711603480736,-1.2344873381858055,1.0
2023,4,ILL STATE,IDAHO,21.0,31.0,0.8922281869555811,-0.012586772367224485,-0.36962383709767366,0.22671534332959986,0.04466637227059255,0.18618864383885633,1.0
2023,4,TOWSON,NORFOLK,14.0,21.0,-0.25433096475029127,-0.7613936752658103,-0.3679689106324213,-1.6283930552099202,0.27624048351589137,0.019063079444636657,1.0
2023,4,SAN DIEGO,E WASHGTON,7.0,17.0,0.05878283537311639,-1.258895767059131,-0.21752795310632214,-0.595314029440919,0.6160039686865293,0.7262465081940498,1.0
2023,4,SAN DIEGO,DAYTON,40.0,25.0,0.05878283537311639,0.9073829504288592,-0.21752795310632214,1.8207147232006784,0.6160039686865293,0.8225731294122409,1.0
2023,4,JACKSON ST,TENN MARTN,21.0,0.0,0.9681529251291328,-0.29546173045640295,0.4627948863937006,-0.5953464526033412,0.10685665570152988,0.5748789269143199,1.0
2023,4,COLGATE,W CAROLINA,55.0,14.0,0.5143821775656952,-0.1347129082468058,-0.9609138032143459,-0.018696535812455367,-0.08606441152432422,0.15085400983473038,1.0
2023,4,SE LA,COLGATE,63.0,0.0,0.3490036852605159,0.5143821775656952,2.1344455953746824,-0.9609138032143459,1.0956594578634182,-0.08606441152432422,1.0
2023,4,N ALABAMA,CENT ARK,30.0,34.0,-0.6457444724818812,0.05202783057582748,-1.1189681178606548,-0.3610923551968519,-0.1921962410771992,-0.5481113728324037,1.0
2023,4,W GEORGIA,W GEORGIA,49.0,21.0,-0.22144571530458076,-0.22144571530458076,0.31088327247564623,0.31088327247564623,0.30956242127487626,0.30956242127487626,1.0
2023,4,NWSTATE,ILL STATE,30.0,0.0,-1.7632187582584513,0.8922281869555811,-2.1301260934834834,-0.36962383709767366,-0.9123851148968865,0.04466637227059255,1.0
2023,4,W CAROLINA,GARD-WEBB,44.0,0.0,-0.1347129082468058,0.7443444195962172,-0.018696535812455367,-0.8889947691363866,0.15085400983473038,-0.13083793749913436,1.0
2023,4,INDIANA ST,DAVIDSON,33.0,0.0,-0.9180329824885721,-0.9264910593911985,-2.254710437840436,-3.1557116574478967,0.3190221237879174,-0.6908625191828454,1.0
2023,4,FL A&M,ALABAMA ST,23.0,10.0,-0.13042672666735644,1.818351721813258,-0.9750180095673685,-0.1206863431374046,-0.8406026796363576,0.13097424227884485,1.0
2023,4,DUQUESNE,WEBER ST,17.0,24.0,0.20057173742249368,-0.4993835722759319,0.6731337970662508,-0.794282723501795,-0.18277164387809366,-0.17353371508090912,1.0
2023,4,CAMPBELL,ELON,24.0,28.0,-0.9400766472678542,-0.08099763995240038,-0.9473721027160849,1.711086837354275,-0.8898142617649558,0.26858690767173,1.0
2023,4,MORGAN ST,ALBANY,17.0,23.0,-0.7436729564669554,-1.5925942766844354,1.1197386778445981,-0.6282830864444137,0.13175841980973008,-1.2088592854042421,1.0
2023,4,TENN STATE,ILL STATE,31.0,21.0,-1.4442904903627436,0.8922281869555811,-0.03971098180967482,-0.36962383709767366,0.6528000148453635,0.04466637227059255,1.0
2023,4,IDAHO ST,N COLORADO,35.0,21.0,0.8272502554986704,0.4127253456443712,-1.1361099164711401,0.3500812533645393,0.18336312779159952,0.34357998266107953,1.0
2023,4,E KENTUCKY,SCAR STATE,41.0,38.0,-1.5699099644996932,-0.5007707775647916,0.794782467704032,1.0410431363432906,-0.14316718419464555,-1.0021084387500485,1.0
2023,4,DELWARE ST,NEW HAMP,29.0,25.0,0.21218425766555993,-0.41815025988902305,-0.7443007542566228,-0.3611668558053374,-0.9527687006276849,0.8011566363147081,1.0
